Sample,Measure,Value,X.Name,soil_type,Year,farm,replication,tillage,cover_crop,Crop_rotation,Season
TO2,Fisher,677.0395905382032,TO2,Bulk,2020,OGL,2,Conv Till,no CC,Corn-Soybean,Fall
TO3,Fisher,600.7253240565284,TO3,Bulk,2020,OGL,3,Conv Till,no CC,Corn-Soybean,Fall
TOa,Fisher,24.539652385271086,TOa,Bulk,2021,OGL,1,Conv Till,no CC,Corn-Soybean,Spring
TOb,Fisher,52.83386211813692,TOb,Bulk,2021,OGL,2,Conv Till,no CC,Corn-Soybean,Spring
TOc,Fisher,26.695880538259665,TOc,Bulk,2021,OGL,3,Conv Till,no CC,Corn-Soybean,Spring
WB1,Fisher,602.0585367028476,WB1,Bulk,2020,BRE,1,Conv Till,no CC,Soybean-Soybean,Fall
WB2,Fisher,630.4707851495491,WB2,Bulk,2020,BRE,2,Conv Till,no CC,Soybean-Soybean,Fall
WB3,Fisher,632.7478046089652,WB3,Bulk,2020,BRE,3,Conv Till,no CC,Soybean-Soybean,Fall
WBa,Fisher,26.85731135410404,WBa,Bulk,2021,BRE,1,Conv Till,no CC,Soybean-Soybean,Spring
WBb,Fisher,20.55614940898026,WBb,Bulk,2021,BRE,2,Conv Till,no CC,Soybean-Soybean,Spring
WBc,Fisher,30.953976337900496,WBc,Bulk,2021,BRE,3,Conv Till,no CC,Soybean-Soybean,Spring
AS1,Pielou,0.9333114233919152,AS1,Bulk,2020,SCH,1,Min Till,CC-mix,Cotton-Soybean,Fall
AS2,Pielou,0.9372685656168529,AS2,Bulk,2020,SCH,2,Min Till,CC-mix,Cotton-Soybean,Fall
AS3,Pielou,0.9293540657890962,AS3,Bulk,2020,SCH,3,Min Till,CC-mix,Cotton-Soybean,Fall
ASa,Pielou,0.9549241636405466,ASa,Bulk,2021,SCH,1,Min Till,CC-mix,Cotton-Soybean,Spring
ASb,Pielou,0.9485251958331391,ASb,Bulk,2021,SCH,2,Min Till,CC-mix,Cotton-Soybean,Spring
ASc,Pielou,0.9454168690532655,ASc,Bulk,2021,SCH,3,Min Till,CC-mix,Cotton-Soybean,Spring
GR1,Pielou,0.9127399548415138,GR1,Bulk,2020,ROB,1,Min Till,CC-mix,Corn-Soybean,Fall
GR2,Pielou,0.9380099069253224,GR2,Bulk,2020,ROB,2,Min Till,CC-mix,Corn-Soybean,Fall
GR3,Pielou,0.9373317554631934,GR3,Bulk,2020,ROB,3,Min Till,CC-mix,Corn-Soybean,Fall
GRa,Pielou,0.9430697857381936,GRa,Bulk,2021,ROB,1,Min Till,CC-mix,Corn-Soybean,Spring
GRb,Pielou,0.9592907404518932,GRb,Bulk,2021,ROB,2,Min Till,CC-mix,Corn-Soybean,Spring
GRc,Pielou,0.9491538269629017,GRc,Bulk,2021,ROB,3,Min Till,CC-mix,Corn-Soybean,Spring
NK3,Pielou,0.9411486472609734,NK3,Bulk,2020,KIN,3,Conv Till,no CC,Soybean-Corn,Fall
NK4,Pielou,0.9378752558281602,NK4,Bulk,2020,KIN,4,Conv Till,no CC,Soybean-Corn,Fall
NK5,Pielou,0.9417918363785076,NK5,Bulk,2020,KIN,5,Conv Till,no CC,Soybean-Corn,Fall
NKc,Pielou,0.9584150966660767,NKc,Bulk,2021,KIN,3,Conv Till,no CC,Soybean-Corn,Spring
NKd,Pielou,0.9542399345834459,NKd,Bulk,2021,KIN,4,Conv Till,no CC,Soybean-Corn,Spring
NKe,Pielou,0.9565626785292822,NKe,Bulk,2021,KIN,5,Conv Till,no CC,Soybean-Corn,Spring
RE1,Pielou,0.9404171999292248,RE1,Bulk,2020,EVA,1,Min Till,CC-mix,Soybean-Soybean,Fall
RE2,Pielou,0.9479521962339095,RE2,Bulk,2020,EVA,2,Min Till,CC-mix,Soybean-Soybean,Fall
RE3,Pielou,0.9429333742990706,RE3,Bulk,2020,EVA,3,Min Till,CC-mix,Soybean-Soybean,Fall
REa,Pielou,0.9490436891519384,REa,Bulk,2021,EVA,1,Min Till,CC-mix,Soybean-Soybean,Spring
REb,Pielou,0.9506742739843766,REb,Bulk,2021,EVA,2,Min Till,CC-mix,Soybean-Soybean,Spring
REc,Pielou,0.9599354797526937,REc,Bulk,2021,EVA,3,Min Till,CC-mix,Soybean-Soybean,Spring
TO1,Pielou,0.9385608121202,TO1,Bulk,2020,OGL,1,Conv Till,no CC,Corn-Soybean,Fall
TO2,Pielou,0.9387587399302524,TO2,Bulk,2020,OGL,2,Conv Till,no CC,Corn-Soybean,Fall
TO3,Pielou,0.8906224983484491,TO3,Bulk,2020,OGL,3,Conv Till,no CC,Corn-Soybean,Fall
TOa,Pielou,0.9430642501317411,TOa,Bulk,2021,OGL,1,Conv Till,no CC,Corn-Soybean,Spring
TOb,Pielou,0.9492877542647743,TOb,Bulk,2021,OGL,2,Conv Till,no CC,Corn-Soybean,Spring
TOc,Pielou,0.953060247680897,TOc,Bulk,2021,OGL,3,Conv Till,no CC,Corn-Soybean,Spring
WB1,Pielou,0.9338133922654664,WB1,Bulk,2020,BRE,1,Conv Till,no CC,Soybean-Soybean,Fall
WB2,Pielou,0.9420438331349139,WB2,Bulk,2020,BRE,2,Conv Till,no CC,Soybean-Soybean,Fall
WB3,Pielou,0.9430240369982964,WB3,Bulk,2020,BRE,3,Conv Till,no CC,Soybean-Soybean,Fall
WBa,Pielou,0.95421862309286,WBa,Bulk,2021,BRE,1,Conv Till,no CC,Soybean-Soybean,Spring
WBb,Pielou,0.9450558286613716,WBb,Bulk,2021,BRE,2,Conv Till,no CC,Soybean-Soybean,Spring
WBc,Pielou,0.9617209968310251,WBc,Bulk,2021,BRE,3,Conv Till,no CC,Soybean-Soybean,Spring
AS1,Coverage,0.9995391410100493,AS1,Bulk,2020,SCH,1,Min Till,CC-mix,Cotton-Soybean,Fall
AS2,Coverage,0.9995391188450568,AS2,Bulk,2020,SCH,2,Min Till,CC-mix,Cotton-Soybean,Fall
AS3,Coverage,0.9994458605785216,AS3,Bulk,2020,SCH,3,Min Till,CC-mix,Cotton-Soybean,Fall
ASa,Coverage,1,ASa,Bulk,2021,SCH,1,Min Till,CC-mix,Cotton-Soybean,Spring
ASb,Coverage,0.9998465316144874,ASb,Bulk,2021,SCH,2,Min Till,CC-mix,Cotton-Soybean,Spring
ASc,Coverage,1,ASc,Bulk,2021,SCH,3,Min Till,CC-mix,Cotton-Soybean,Spring
GR1,Coverage,0.9991973574537709,GR1,Bulk,2020,ROB,1,Min Till,CC-mix,Corn-Soybean,Fall
GR2,Coverage,0.9994388990608942,GR2,Bulk,2020,ROB,2,Min Till,CC-mix,Corn-Soybean,Fall
GR3,Coverage,0.9997471845552747,GR3,Bulk,2020,ROB,3,Min Till,CC-mix,Corn-Soybean,Fall
GRa,Coverage,0.9996914532551682,GRa,Bulk,2021,ROB,1,Min Till,CC-mix,Corn-Soybean,Spring
GRb,Coverage,1,GRb,Bulk,2021,ROB,2,Min Till,CC-mix,Corn-Soybean,Spring
GRc,Coverage,1,GRc,Bulk,2021,ROB,3,Min Till,CC-mix,Corn-Soybean,Spring
NK3,Coverage,0.9992410321962132,NK3,Bulk,2020,KIN,3,Conv Till,no CC,Soybean-Corn,Fall
NK4,Coverage,0.9992067803976964,NK4,Bulk,2020,KIN,4,Conv Till,no CC,Soybean-Corn,Fall
NK5,Coverage,0.9989179751380196,NK5,Bulk,2020,KIN,5,Conv Till,no CC,Soybean-Corn,Fall
NKc,Coverage,1,NKc,Bulk,2021,KIN,3,Conv Till,no CC,Soybean-Corn,Spring
NKd,Coverage,1,NKd,Bulk,2021,KIN,4,Conv Till,no CC,Soybean-Corn,Spring
NKe,Coverage,1,NKe,Bulk,2021,KIN,5,Conv Till,no CC,Soybean-Corn,Spring
RE1,Coverage,0.9989340139629157,RE1,Bulk,2020,EVA,1,Min Till,CC-mix,Soybean-Soybean,Fall
RE2,Coverage,0.9989674368490363,RE2,Bulk,2020,EVA,2,Min Till,CC-mix,Soybean-Soybean,Fall
RE3,Coverage,0.9989412717194993,RE3,Bulk,2020,EVA,3,Min Till,CC-mix,Soybean-Soybean,Fall
REa,Coverage,1,REa,Bulk,2021,EVA,1,Min Till,CC-mix,Soybean-Soybean,Spring
REb,Coverage,1,REb,Bulk,2021,EVA,2,Min Till,CC-mix,Soybean-Soybean,Spring
REc,Coverage,1,REc,Bulk,2021,EVA,3,Min Till,CC-mix,Soybean-Soybean,Spring
TO1,Coverage,0.9993129761627265,TO1,Bulk,2020,OGL,1,Conv Till,no CC,Corn-Soybean,Fall
TO2,Coverage,0.9991053804972948,TO2,Bulk,2020,OGL,2,Conv Till,no CC,Corn-Soybean,Fall
TO3,Coverage,0.9988577362409138,TO3,Bulk,2020,OGL,3,Conv Till,no CC,Corn-Soybean,Fall
TOa,Coverage,1,TOa,Bulk,2021,OGL,1,Conv Till,no CC,Corn-Soybean,Spring
TOb,Coverage,1,TOb,Bulk,2021,OGL,2,Conv Till,no CC,Corn-Soybean,Spring
TOc,Coverage,1,TOc,Bulk,2021,OGL,3,Conv Till,no CC,Corn-Soybean,Spring
WB1,Coverage,0.999438092446008,WB1,Bulk,2020,BRE,1,Conv Till,no CC,Soybean-Soybean,Fall
WB2,Coverage,0.9993136864645245,WB2,Bulk,2020,BRE,2,Conv Till,no CC,Soybean-Soybean,Fall
WB3,Coverage,0.9991207284541214,WB3,Bulk,2020,BRE,3,Conv Till,no CC,Soybean-Soybean,Fall
WBa,Coverage,1,WBa,Bulk,2021,BRE,1,Conv Till,no CC,Soybean-Soybean,Spring
WBb,Coverage,1,WBb,Bulk,2021,BRE,2,Conv Till,no CC,Soybean-Soybean,Spring
WBc,Coverage,1,WBc,Bulk,2021,BRE,3,Conv Till,no CC,Soybean-Soybean,Spring
